,City,Benzene,Toluene,Xylene
22,Shillong,34.596774193548384,35.08909677419355,0.98
18,Kolkata,10.857776412776412,15.41642506142506,1.7478132678132678
1,Aizawl,8.677610619469027,9.360176991150443,0.98
7,Chandigarh,5.069243421052631,1.4085197368421052,2.626282894736842
6,Brajrajnagar,4.590511727078891,2.97,0.98
0,Ahmedabad,4.506356396217024,22.14891488302638,3.570214036834246
13,Guwahati,4.233884462151394,2.97,0.98
25,Visakhapatnam,3.9629274965800274,8.613351573187414,2.8767920656634747
3,Amritsar,3.686117936117936,3.0515151515151517,6.255012285012285
10,Delhi,3.5487406669985067,17.344703832752614,1.3323544051767047
4,Bengaluru,2.9806869089099055,4.7076057740169235,0.98
19,Lucknow,2.8399352911896467,4.925704330512692,0.98
8,Chennai,1.7516774514683922,2.9887406669985066,0.98
12,Gurugram,1.7233889219773675,5.207081596188208,1.3161226920786182
15,Jaipur,1.6438779174147218,6.640852782764811,0.98
21,Patna,1.6436437029063509,9.769747039827772,5.013611410118408
20,Mumbai,1.6314136386261824,2.9634992533598807,0.9796565455450472
14,Hyderabad,1.1870787637088736,7.5906929212362915,1.6545513459621137
23,Talcher,1.0785945945945947,2.9636432432432436,0.98
16,Jorapokhar,1.07,2.97,0.9799999999999999
5,Bhopal,1.07,2.97,0.9799999999999999
17,Kochi,1.07,2.807037037037037,0.98
24,Thiruvananthapuram,1.07,2.97,0.98
2,Amaravati,0.6630914826498423,2.02,0.9811566771819138
11,Ernakulam,0.6482098765432099,1.3835802469135803,0.4994444444444444
9,Coimbatore,0.5773316062176166,1.831580310880829,0.98
