,City,avg_pm10
10,Delhi,227.55340467894473
23,Talcher,152.20882162162164
12,Gurugram,137.9135199523526
16,Jorapokhar,136.95996578272027
15,Jaipur,123.1340933572711
6,Brajrajnagar,118.95408315565032
5,Bhopal,118.58799307958478
13,Guwahati,116.60490039840639
18,Kolkata,114.28156019656019
3,Amritsar,114.19529074529075
25,Visakhapatnam,104.2933242134063
0,Ahmedabad,99.50973618715778
21,Patna,98.87374596340152
20,Mumbai,96.08449975111996
19,Lucknow,95.68
14,Hyderabad,92.59489531405784
8,Chennai,90.74253359880538
7,Chandigarh,85.65654605263158
4,Bengaluru,85.47186660029867
2,Amaravati,77.47925341745531
17,Kochi,67.33543209876544
24,Thiruvananthapuram,54.32680755395684
22,Shillong,54.10296774193549
11,Ernakulam,49.504629629629626
9,Coimbatore,39.028471502590676
1,Aizawl,23.9929203539823
