,City,avg_pm2_5
10,Delhi,117.12783474365357
12,Gurugram,110.81798094103634
21,Patna,110.55342303552207
19,Lucknow,106.60968143354903
13,Guwahati,63.655318725099605
18,Kolkata,63.29574938574938
0,Ahmedabad,61.82629168740667
6,Brajrajnagar,61.003017057569295
23,Talcher,58.85221621621622
3,Amritsar,54.7451678951679
15,Jaipur,54.4368222621185
16,Jorapokhar,53.64675791274593
8,Chennai,50.317546042807365
5,Bhopal,50.01318339100346
25,Visakhapatnam,47.22138166894665
14,Hyderabad,47.12333499501496
20,Mumbai,43.35181184668989
7,Chandigarh,41.497335526315794
2,Amaravati,38.44304942166141
4,Bengaluru,36.74642110502737
22,Shillong,34.48767741935484
17,Kochi,31.42851851851852
9,Coimbatore,29.554041450777202
24,Thiruvananthapuram,28.812158273381293
11,Ernakulam,25.528086419753087
1,Aizawl,17.68646017699115
