,City,avg_pm2_5,avg_pm10
10,Delhi,117.12783474365357,227.55340467894473
12,Gurugram,110.81798094103634,137.9135199523526
21,Patna,110.55342303552207,98.87374596340152
19,Lucknow,106.60968143354903,95.68
13,Guwahati,63.655318725099605,116.60490039840639
18,Kolkata,63.29574938574938,114.28156019656019
0,Ahmedabad,61.82629168740667,99.50973618715778
6,Brajrajnagar,61.003017057569295,118.95408315565032
23,Talcher,58.85221621621622,152.20882162162164
3,Amritsar,54.7451678951679,114.19529074529075
15,Jaipur,54.4368222621185,123.1340933572711
16,Jorapokhar,53.64675791274593,136.95996578272027
8,Chennai,50.317546042807365,90.74253359880538
5,Bhopal,50.01318339100346,118.58799307958478
25,Visakhapatnam,47.22138166894665,104.2933242134063
14,Hyderabad,47.12333499501496,92.59489531405784
20,Mumbai,43.35181184668989,96.08449975111996
7,Chandigarh,41.497335526315794,85.65654605263158
2,Amaravati,38.44304942166141,77.47925341745531
4,Bengaluru,36.74642110502737,85.47186660029867
22,Shillong,34.48767741935484,54.10296774193549
17,Kochi,31.42851851851852,67.33543209876544
9,Coimbatore,29.554041450777202,39.028471502590676
24,Thiruvananthapuram,28.812158273381293,54.32680755395684
11,Ernakulam,25.528086419753087,49.504629629629626
1,Aizawl,17.68646017699115,23.9929203539823
